Pare                 Rudy                 02-07-1965 M Rue Fouramont                 10  Halle                     1500  BEL 0481/35.19.52  65.07.02-057.72 75 
Langlais             Agramant             07-08-1938 M Kerkstraat                    346 Berzee                    5651  BEL 0489/21.69.81  38.08.07-047.39 90 
Barrette             Sylvie               13-02-1974 F Rue du Centre                 451 Mariembourg               5660  BEL 0477/58.90.43  74.02.13-014.89 61 
Girard               Trinette             22-12-1991 F Nieuwe Baan                   154 Berlare                   9290  BEL 0488/74.10.93  91.12.22-018.52 03 
Parmentier           Gregoire             26-06-1980 M Rue du Bois Colau             238 Oelegem                   2520  BEL 0471/97.62.27  80.06.26-089.48 84 
Perrault             Parfait              26-05-1937 MRue de l'examen                488 Ayeneux                   4630  BEL 0492/43.68.48  37.05.26-065.11 73 
Laframboise          Alexa                13-01-1951 F Rue du Chateau                75  Lokeren                   9160  BEL 0470/14.30.75  51.01.12-016.17 77 
Daubigne             Magnolia             23-02-1987 F Avenue Ferdinand de Lesseps   76  Grenoble                  38100 FRA 04.82.74.19.79 87.02.23-038.62 96 
Sarrazin             Peppin               05-06-1980 M Cours Jean Jaures             93  Bordeaux                  33300 FRA 05.46.94.52.81 80.06.05-087.94 72 
Delmare              Rocheleau            01-11-1998 F Avenue de Bouvines            98  Sens                      89100 FRA 03.05.99.55.79 98.11.01-036.44 11 
Howard               Charlie              01-01-1961 M Booischotseweg                138 Jamoigne                  6810  BEL 0494/23.17.55  65.11.02-111.00 5  
Murray               Lenny                02-01-1961 M Oostjachtpark                 477 Buzet                     6230  BEL 0494/23.18.56  65.11.03-111.01 5  
Lloyd                Ted                  03-01-1961 M Rue Supexhe                   142 Sinsin                    5377  BEL 0494/23.19.57  65.11.04-111.02 5  
Payne                Henry                04-01-1961 M Rue des Taillis               380 Gesves                    5340  BEL 0494/23.20.58  65.11.05-111.03 4  
Carter               Audrey               05-01-1961 F Rue de Berloz                 382 Cortil-Noirmont           1450  BEL 0494/23.21.59  65.11.06-111.04 4  
Brown                Jenna                06-01-1961 F Courtensdreef                 413 Herve                     4650  BEL 0494/23.22.60  65.11.07-111.05 25 
Nelson               Fenton               07-01-1961 M Rue de Fromelenne             143 Gentinnes                 1450  BEL 0494/23.23.19  65.11.08-111.06 25 
